Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01
20A.EU1,France,1,1,0,0,0,0,0,0,0,0,0,1,0,2,5,7,10,8,38,53,37,15,23,29,45,57,85,67,43,38,22,16,21,42,32,37,118,145,190,257,106,82,192,86,139,49,96,29,39,9,13,5,5,3,2,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20A.EU1,Germany,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,5,7,9,2,4,29,24,21,40,32,29,28,42,56,62,60,112,128,126,135,76,208,331,624,960,1010,921,1035,1011,684,493,366,249,170,98,65,26,14,17,6,2,4,3,2,0,0,10,0,1,0,2,2,4,0,0,0,0,0,1,0,0,0,1,0,0
20A.EU1,Netherlands,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,5,8,17,12,21,44,38,48,48,66,84,101,95,94,123,108,95,160,168,201,226,357,306,343,389,394,378,214,171,170,132,53,36,24,11,8,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Spain,0,0,0,0,0,0,0,7,59,11,30,53,45,69,93,86,145,98,163,243,142,229,224,230,190,209,136,175,176,187,137,279,374,452,262,439,275,456,859,825,720,475,442,334,239,154,79,59,40,30,29,18,14,9,3,6,7,3,4,2,0,2,0,1,3,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0
20A.EU1,Hong Kong,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,2,0,0,2,0,2,2,2,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Belgium,0,0,0,0,0,0,0,0,0,0,0,1,2,7,1,1,0,0,3,6,26,14,5,30,28,49,15,7,37,18,20,18,10,28,15,30,56,86,126,106,140,87,120,72,34,17,6,7,6,2,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,1,11,14,31,132,310,566,625,1241,1689,2825,2411,4090,4283,6045,5335,7016,7323,4908,3060,2863,5192,5517,3032,2611,2583,2596,1705,1427,771,570,448,235,115,135,38,34,8,8,7,3,13,5,4,1,2,0,1,1,0,0,1,6,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
20A.EU1,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,13,18,51,50,49,2,8,39,96,196,179,157,342,313,161,194,170,223,519,399,536,528,509,457,311,195,62,47,27,24,23,16,10,4,6,3,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,2,0,17,19,58,5,3,46,61,16,14,45,34,45,63,16,12,60,32,53,37,76,47,61,81,54,38,23,12,4,3,3,0,4,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,10,59,10,3,1,0,0,1,0,5,5,14,19,19,11,17,18,15,13,17,12,29,22,90,59,61,87,62,66,56,43,9,9,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,9,20,19,49,66,31,32,37,66,42,141,86,84,65,94,68,141,291,248,179,201,288,274,51,181,372,446,336,215,187,169,52,38,20,13,12,4,10,4,6,2,3,8,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
20A.EU1,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,23,44,196,66,222,262,135,117,246,79,465,494,393,684,935,1426,2287,2815,2196,2397,2505,2530,2115,1378,909,619,445,295,190,80,111,104,68,92,79,69,76,78,57,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,3,158,223,277,527,425,282,303,126,49,18,70,72,46,55,35,33,39,20,8,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
